Stock No.,Product Name,Category,Qty.,Volume Points,MRP,Retail Price,*Earn Base,Associates - 25%,Senior Consultant - 35%,Qualified Producer/ Success Builder - 42%,Supervisor - 50%
031K,H24 Rebuild Strength - 50gms * 10 Sachets,SPORTS NUTRITIONS,(1),24.70,2396,2030,1659,1906,1710,1573,1417
046K,Hn-Skin Booster - Orange - 10gms * 30 Sachets,KIN HEALTH,(1),38.65,3581,3034,2240,2919,2655,2470,2259
1279,DinoShakeTM - Chocolicious - 200 gms,CHILDREN HEALTH PRODUCTS,(1),9.60,1021,865,736,804,717,656,586
1236,Dinoshake Nutritional Children's Drink Mix - Strawberry -200 gms,CHILDREN HEALTH PRODUCTS,,,,,,,,,
1278,Activated Fiber - 90 tablets,DIGESTIVE HEALTH PRODUCTS,(1),15.75,1499,1270,1080,1180,1053,963,861
2865,Active Fiber Complex -Unflavoured - 200 gms,DIGESTIVE HEALTH PRODUCTS,(1),22.95,2344,1986,1689,1845,1646,1506,1347
1293,Aloe Plus - 60 capsules,DIGESTIVE HEALTH PRODUCTS,(1),9.40,970,822,699,764,681,624,558
0006,Herbal Aloe Concentrate - Unflavored (Original) - 500 ml,DIGESTIVE HEALTH PRODUCTS,(1),24.95,2469,2092,1779,1944,1734,1587,1419
025K,Simply Probiotic - 1gms * 30 Sachets,DIGESTIVE HEALTH PRODUCTS,(1),21.95,2023,1714,1362,1621,1460,1348,1219
0020,Herbalife Calcium Tablets - 60 tablets,BONE & JOINT HEALTH PRODUCTS,(1),10.25,1101,933,794,867,773,707,632
0555,Joint Support - 90 tablets,BONE & JOINT HEALTH PRODUCTS,(1),20.90,2248,1905,1620,1770,1579,1445,1292
2637,Herbalife Niteworks - 300 gms,CARDIOVASCULAR HEALTH PRODUCTS,(1),75.00,6528,5532,4703,5140,4585,4197,3753
0065,Herbalifeline - 60 softgels,CARDIOVASCULAR HEALTH PRODUCTS,(1),25.75,2443,2070,1760,1923,1716,1570,1404
051K,Beta Heart - Vanilla Flavour -15 gms * 15 Sachets,CARDIOVASCULAR HEALTH PRODUCTS,(1),19.55,2054,1740,1284,1674,1523,1417,1296
1232,Multivitamin Mineral & Herbal -90 tablets,ENHANCERS,(1),19.95,1834,1554,1321,1444,1288,1179,1054
3123,Cell Activator - New - 60 Tablets,ENHANCERS,(1),21.95,2029,1719,1462,1597,1425,1304,1166
0111,Cell-U-Loss Advanced - 90 Tablets,ENHANCERS,(1),15.75,1562,1323,1125,1229,1097,1004,897
0077,Herbal Control -90 Tablets,ENHANCERS,(1),32.95,3144,2664,2265,2475,2208,2021,1807
